Codigo,Descripcion,Estado,Stock Minimo,Q Stock,Etapa en ejecución,Q pptada etapa,Q comprada,Qpptada x Lote,Q recibida,Q entregada,Qprom semana,Acción propuesta2,Cant prop
1194652.0,ACRIZINC NEGRO 1 GAL,STOCK BAJO NIVEL CRITICO,2.5,0.0,15.0,6.5,6.0,,6.0,3.99,,Recuperar,2.01
1269909.0,ADHESIVO AC EN PASTA 25 KG,STOCK OK,7.888,24.0,14.0,23.48,23.479999999999997,,23.48,24.46999999999999,,Recuperar,0.9899999999999913
1177641.0,ADHESIVO EN POLVO 25 KG 1 SAC O,STOCK OK,47.25,96.0,15.0,142.0,142.0,,142.0,129.0,,Posponer,
1261106.0,ALFOMBRA SPEED BEIGE 400 1 M2,STOCK OK,263.55,700.17455078125,14.0,754.64,746.1999999999999,,746.2,23.01,,Recuperar,23.015449218750064
1177895.0,ANTICORROSIVO NEGRO 1 GAL,STOCK BAJO NIVEL CRITICO,2.5,1.9073486328125e-06,15.0,1.6,2.0,,2.0,0.54,,Recuperar,3.459998092651367
1274812.0,BASE COAT 20 KG 1 SACO,STOCK OK,95.25,119.99998718261719,16.0,53.09,50.0,,50.0,2.1,,Posponer,
1178193.0,"BROCHA 2"" 1 UN",STOCK BAJO NIVEL CRITICO,15.0,0.0,13.0,27.0,46.0,,46.0,16.0,,Recuperar,30.0
1179508.0,"BROCHA 4"" 1 UN",STOCK OK,11.25,41.0,14.0,37.5,58.75,,58.75,17.330000000000005,,Posponer,
1208153.0,CALEFON SPLENDID 10 LTS IONIZA DO G.L. 1 UN CON FLEXIBLES,STOCK BAJO NIVEL CRITICO,5.0,0.0,14.0,12.0,12.0,,12.0,6.0,,Recuperar,6.0
1191849.0,CALEFON SPLENDID 7 LTS IONIZAD O 1 UN CON FLEXIBLES,STOCK BAJO NIVEL CRITICO,5.0,0.0,14.0,5.0,5.0,,5.0,5.0,,Comprar,
1178222.0,"CANERIA CU 3/4"" TIPO L 1 ML",STOCK OK,10.0,135.0,14.0,34.0,34.0,,34.0,15.0,,Posponer,
1191945.0,CAVE TECNOBOND 20 KG,STOCK OK,0.88,3.46,14.0,2.11,2.11,,2.11,1.5399999999999998,,Posponer,
1189722.0,CELOSIA 20 X 20 BLANCA 1 UN,STOCK OK,15.0,115.0,14.0,46.0,46.0,,20.0,0.0,,Seguimiento,
1286080.0,CERAMICA SOLANA BEIGE 45 X 45,STOCK OK,165.6375,234.40005859375,15.0,496.99,496.99,,496.99,316.63,,Posponer,
1295381.0,CERAMICA NEW BLANCA BRILL 20 X,STOCK OK,51.765,178.0799932861328,14.0,154.09,89.03999999999999,,89.03,46.46000000000001,,Comprar,
1193027.0,CERRADURA CILINDRICA INOX YALE ACCESO LLAVE 1 UN,STOCK OK,5.0,15.0,14.0,17.0,17.0,,17.0,17.0,,Posponer,
1193060.0,CERRADURA CILINDRICA INOX YALE BANO 134640 1 UN,STOCK OK,10.0,29.0,14.0,17.0,29.0,,29.0,29.0,,Recuperar,0.0
1248251.0,CERRADURA CILINDRICA INOX YALE OFICINA-DORMITORIO 134630 1 UN,STOCK BAJO NIVEL CRITICO,5.0,0.0,14.0,17.0,34.0,,34.0,93.97999999999999,,Recuperar,30.0
