Codigo;Descripcion;Estado;Stock Minimo;Q Stock;Etapa en ejecución;Q pptada etapa;Q comprada;Qpptada x Lote;Q recibida;Q entregada;Qprom semana;Acción propuesta2;Cant prop;Codigo_str
1194652;ACRIZINC NEGRO 1 GAL;STOCK BAJO NIVEL CRITICO;2.5;0.0;15.0;6.5;6.0;;6.0;3.99;;Recuperar;2.01;1194652
1269909;ADHESIVO AC EN PASTA 25 KG;STOCK OK;7.888;24.0;14.0;23.48;23.48;;23.48;24.46999999999999;;Recuperar;0.9899999999999912;1269909
1177641;ADHESIVO EN POLVO 25 KG 1 SAC O;STOCK OK;47.25;96.0;15.0;142.0;142.0;;142.0;129.0;;Posponer;;1177641
1261106;ALFOMBRA SPEED BEIGE 400 1 M2;STOCK OK;263.55;700.17455078125;14.0;754.64;746.1999999999999;;746.2;23.01;;Recuperar;23.015449218750064;1261106
1177895;ANTICORROSIVO NEGRO 1 GAL;STOCK BAJO NIVEL CRITICO;2.5;1.9073486328125e-06;15.0;1.6;2.0;;2.0;0.54;;Recuperar;3.459998092651367;1177895
1274812;BASE COAT 20 KG 1 SACO;STOCK OK;95.25;119.9999871826172;16.0;53.09;50.0;;50.0;2.1;;Posponer;;1274812
1178193;"BROCHA 2"" 1 UN";STOCK BAJO NIVEL CRITICO;15.0;0.0;13.0;27.0;46.0;;46.0;16.0;;Recuperar;30.0;1178193
1179508;"BROCHA 4"" 1 UN";STOCK OK;11.25;41.0;14.0;37.5;58.75;;58.75;17.330000000000005;;Posponer;;1179508
1208153;CALEFON SPLENDID 10 LTS IONIZA DO G.L. 1 UN CON FLEXIBLES;STOCK BAJO NIVEL CRITICO;5.0;0.0;14.0;12.0;12.0;;12.0;6.0;;Recuperar;6.0;1208153
1191849;CALEFON SPLENDID 7 LTS IONIZAD O 1 UN CON FLEXIBLES;STOCK BAJO NIVEL CRITICO;5.0;0.0;14.0;5.0;5.0;;5.0;5.0;;Comprar;;1191849
1178222;"CANERIA CU 3/4"" TIPO L 1 ML";STOCK OK;10.0;135.0;14.0;34.0;34.0;;34.0;15.0;;Posponer;;1178222
1191945;CAVE TECNOBOND 20 KG;STOCK OK;0.88;3.46;14.0;2.11;2.11;;2.11;1.5399999999999998;;Posponer;;1191945
1189722;CELOSIA 20 X 20 BLANCA 1 UN;STOCK OK;15.0;115.0;14.0;46.0;46.0;;20.0;0.0;;Seguimiento;;1189722
1286080;CERAMICA SOLANA BEIGE 45 X 45;STOCK OK;165.6375;234.40005859375;15.0;496.99;496.99;;496.99;316.63;;Posponer;;1286080
1295381;CERAMICA NEW BLANCA BRILL 20 X;STOCK OK;51.765;178.0799932861328;14.0;154.09;89.03999999999999;;89.03;46.46000000000001;;Comprar;;1295381
1193027;CERRADURA CILINDRICA INOX YALE ACCESO LLAVE 1 UN;STOCK OK;5.0;15.0;14.0;17.0;17.0;;17.0;17.0;;Posponer;;1193027
1193060;CERRADURA CILINDRICA INOX YALE BANO 134640 1 UN;STOCK OK;10.0;29.0;14.0;17.0;29.0;;29.0;29.0;;Recuperar;0.0;1193060
1248251;CERRADURA CILINDRICA INOX YALE OFICINA-DORMITORIO 134630 1 UN;STOCK BAJO NIVEL CRITICO;5.0;0.0;14.0;17.0;34.0;;34.0;93.98;;Recuperar;30.0;1248251
1193086;CERRADURA CILINDRICA INOX YALE S/PASO 1 UN;CERCA DE NIVEL CRITICO;20.0;22.0;14.0;29.0;29.0;;29.0;4.99;;Recuperar;30.01;1193086
1252664;CERROJO INOX LLAVE LLAVE 1 UN;STOCK OK;5.0;64.0;14.0;34.0;34.0;;34.0;34.0;;Posponer;;1252664
