Codigo;Descripcion;Estado;Stock Minimo;Q Stock;Etapa en ejecución;Q pptada etapa;Q comprada;Qpptada x Lote;Q recibida;Q entregada;Qprom semana
1290601;WC LUGANO DESC. PISO 1 UN;STOCK OK;5;119;012;18;18;;18;8;
1268615;YESO EXPRESS 25 KG;STOCK OK;56,25;110;014;177,2;177,2;;177,2;250,8;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
